Lon   Lat   clay silt sand orgC CN pH cellfraction 
113.75 28.25 0.220 0.190 0.590 0.008 11.000 5.100 0.607 
-179.25 66.75 0.200 0.480 0.320 0.031 17.000 6.300 0.447 
-70.75 2.75 0.350 0.110 0.540 0.010 13.000 4.500 0.453 
64.25 49.75 0.260 0.250 0.490 0.007 11.000 7.800 0.937 
-14.25 65.75 0.253 0.291 0.456 0.019 11.657 7.257 0.690 
-96.25 65.25 0.080 0.370 0.550 0.020 11.000 5.900 0.600 
-152.75 66.25 0.320 0.300 0.380 0.014 11.000 4.900 0.523 
103.75 25.25 0.260 0.190 0.550 0.009 13.000 5.300 0.547 
-156.25 64.25 0.320 0.300 0.380 0.014 11.000 4.900 0.500 
-74.75 42.25 0.240 0.330 0.430 0.014 12.000 5.100 0.825 
-83.25 41.75 0.230 0.270 0.500 0.008 11.000 6.200 0.503 
82.75 62.25 0.410 0.330 0.260 0.307 21.000 4.400 0.695 
102.25 73.75 0.200 0.480 0.320 0.031 17.000 6.300 0.556 
133.25 -24.75 0.060 0.050 0.890 0.004 13.000 5.600 0.401 
14.75 11.75 0.350 0.360 0.290 0.041 14.000 5.100 0.585 
45.75 33.25 0.270 0.330 0.400 0.005 10.000 8.200 0.503 
-93.25 81.25 0.080 0.370 0.550 0.020 11.000 5.900 1.000 
-149.75 59.75 0.270 0.300 0.430 0.014 11.000 7.600 0.339 
-105.25 25.25 0.270 0.300 0.430 0.014 11.000 7.600 0.403 
-96.25 52.75 0.410 0.330 0.260 0.307 21.000 4.400 0.600 
-59.75 46.25 0.065 0.203 0.731 0.030 16.820 4.552 0.501 
14.25 68.25 0.081 0.210 0.710 0.029 16.425 4.798 0.409 
-108.25 43.25 0.180 0.120 0.700 0.004 11.000 7.300 0.409 
-9.25 53.25 0.240 0.310 0.450 0.010 11.000 6.600 0.400 
83.25 49.25 0.270 0.300 0.430 0.014 11.000 7.600 0.463 
21.75 67.25 0.060 0.200 0.740 0.030 17.000 4.500 0.616 
-121.75 37.75 0.270 0.240 0.490 0.008 10.000 6.400 0.619 
75.25 38.75 0.270 0.300 0.430 0.014 11.000 7.600 0.499 
88.75 59.25 0.190 0.520 0.290 0.015 11.000 5.300 0.500 
14.25 29.75 0.180 0.280 0.540 0.004 14.000 8.100 0.500 
-70.25 9.25 0.280 0.280 0.440 0.026 13.000 5.100 0.347 
8.75 7.25 0.260 0.190 0.550 0.009 13.000 5.300 0.479 
-62.75 -32.75 0.320 0.330 0.350 0.018 11.000 6.400 1.000 
-47.75 -0.75 0.310 0.330 0.360 0.004 12.000 8.700 0.447 
32.25 20.25 0.170 0.270 0.560 0.004 9.000 8.000 0.600 
25.25 16.75 0.130 0.190 0.680 0.006 11.000 6.500 0.395 
